step,mse,val mse,PSNR,val PSNR,MSSSIM,val MSSSIM
1,942.669942345484,434.0234713519061,20.354469877283023,22.15717041933978,0.88523308027871,0.9197850799119031
2,385.80877090058993,341.06051615962275,22.777625096858504,23.43499678152579,0.9240368559092982,0.9338832583692339
3,260.7948068226016,245.98156260737667,24.374336202694366,24.565951234323006,0.9328716853690942,0.9353649289519699
4,226.25337795911383,199.30616087736908,24.958522512057264,25.423343255784776,0.936742893423605,0.937252417979417
5,190.52221321265884,179.90028039437752,25.633938717636315,25.844811510156703,0.9401953263729627,0.9414658694355577
6,142.8339965999053,136.22687965675635,26.83793337924266,27.06154370484529,0.944563952165526,0.9458039431660263
7,133.64395866911448,138.0785696665446,27.131094425732933,26.996175681220162,0.9456423657743028,0.9461650671782317
8,130.90144998195285,141.64150787636086,27.20399147955616,26.888901032341852,0.9464851728790933,0.9462765375773112
