step,mse,val mse,PSNR,val PSNR
1,0.03345113691819875,0.0073770166512716695,17.61294276852496,21.593601671854653
2,0.00760316430980342,0.005569664393206713,21.679697108474524,22.869482852794505
3,0.005189233698535357,0.0043285044130041365,23.363502794070545,24.049877265647606
4,0.003993751596873017,0.007967802550195267,24.397313603637546,21.364695944609466
5,0.0035091510030203273,0.002974937596634306,25.015647984609355,25.613598357306586
6,0.002030066444820457,0.0018326813113634234,27.299706328517853,27.72758253592032
7,0.00180013332964965,0.0017197375517786929,27.737420139712558,27.94994558404993
8,0.0017048400199745867,0.0016895753924338216,27.97876828401803,28.040223962289314
9,0.0016480018071825678,0.001629070542468172,28.16513781894444,28.201944782115795
10,0.0016003831670965206,0.0015197168714453087,28.253222182117465,28.44881775467484
11,0.0015016998736814822,0.0015721347603377782,28.53976467711123,28.206923654344347
12,0.0013645269503069378,0.001374018091182397,28.924667515972246,28.967933944419578
13,0.0013019626389708916,0.0012281232863811224,29.137653962310527,29.426073590031375
14,0.0012064237254798072,0.0013022369836646788,29.488621628240356,29.099126109370477
15,0.0011819337827911997,0.0010905004548409057,29.559079503013525,29.932201943574128
16,0.0008822203685662166,0.0008705259907637136,30.802392595058304,30.865356127421062
17,0.00085098365190842,0.0009133342091916819,30.96596868352737,30.705274723194265
18,0.0008403181158188207,0.0009098043220109065,31.00017983875204,30.72100827958849
19,0.0008401675062953424,0.0008463898105589949,31.013695395830673,30.923222577130353
20,0.0008058657512053245,0.0008619874089533739,31.171643792186508,30.88631063390661
21,0.0008217888102569857,0.0008169426175300032,31.081614394370195,31.12522964477539
22,0.0007910343617977145,0.0007925062097557303,31.251301413840636,31.261951107449
23,0.0007842842273588686,0.0007765084154757292,31.28446643655309,31.315961837768555
24,0.0007547437433057503,0.0008017192341395896,31.430742764737545,31.18619011066578
25,0.0007536532658421574,0.0007695513037981949,31.429703899435285,31.37166463357431
26,0.0007620888759161584,0.0007961870131246677,31.409678189880896,31.225093149255823
27,0.0007389821459894653,0.0007490817889683293,31.51878996165848,31.46746290701407
28,0.0007367286905497037,0.0007537616716473605,31.54459484114453,31.40161055812129
29,0.0007355359649060595,0.0007692850945103499,31.552667925889924,31.44229992054127
30,0.0007196338088642093,0.0007071321919620796,31.627203102911444,31.717996039213958
